video_file,frame_filename,label
vid11.mp4,preprocessed_imgs\vid11_frame_0000.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0001.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0002.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0003.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0004.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0005.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0006.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0007.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0008.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0009.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0010.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0011.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0012.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0013.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0014.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0015.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0016.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0017.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0018.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0019.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0020.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0021.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0022.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0023.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0024.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0025.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0026.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0027.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0028.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0029.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0030.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0031.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0032.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0033.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0034.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0035.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0036.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0037.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0038.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0039.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0040.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0041.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0042.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0043.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0044.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0045.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0046.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0047.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0048.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0049.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0050.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0051.jpg,1
vid11.mp4,preprocessed_imgs\vid11_frame_0052.jpg,1
